Location,Latitude,Longitude,Paleolatitude,Paleolongitude,Age,SampleType,Method,Temp_C,SE+,SE-,Reference,Marine/Terrestrial,TimePeriod,Stage
"Mas de Vailhe, France",43.7,3.3,43.7,3.3,Upper Pliocene,Plant fossil,Coexistence Approach,14.7,0.9,0.9,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Alpes-Maritimes, France",43.8,7.2,43.8,7.2,Upper Pliocene,Plant fossil,Coexistence Approach,17.5,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Marecchia, Italy",44,12.4,44,12.4,Upper Pliocene,Plant fossil,Coexistence Approach,16.2,1.5,1.5,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Pavlovskaya Depression, USA",44.1,132.1,44.1,132.1,Upper Pliocene,Plant fossil,Coexistence Approach,5.9,1.5,1.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Stirone, Italy",44.6,10.2,44.6,10.2,Upper Pliocene,Plant fossil,Coexistence Approach,15,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Stirone, Italy",44.8,10.1,44.8,10.1,Upper Pliocene,Plant fossil,Coexistence Approach,16.1,1.9,1.9,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Monte Falcone, Italy",44.8,9.9,44.8,9.9,Upper Pliocene,Plant fossil,Coexistence Approach,16.4,1.7,1.7,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Villafranca d'Asti-RDB Quarry, Italy",44.9,8,44.9,8,Upper Pliocene,Plant fossil,Coexistence Approach,14.8,1,1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Upper Valdorno 1, France",45.2,3.5,45.2,3.5,Upper Pliocene,Plant fossil,Coexistence Approach,16.5,1.4,1.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Stura di Lanzo, Italy",45.2,7.6,45.2,7.6,Upper Pliocene,Plant fossil,Coexistence Approach,16.1,0.8,0.8,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Borisovska Kuyalnician, Crimean peninsula",45.3,35.8,45.3,35.8,Upper Pliocene,Plant fossil,Coexistence Approach,16.3,0.6,0.6,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Sem Kolodyazey 205 well, Crimean peninsula",45.3,35.8,45.3,35.8,Upper Pliocene,Plant fossil,Coexistence Approach,14.4,1.1,1.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Oak Grove Forest, USA",45.8,-121.6,45.8,-121.6,Upper Pliocene,Plant fossil,CLAMP,11.9,1,1,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Pula Maar, Hungary",47.1,17.4,47.1,17.4,Upper Pliocene,Plant fossil,Coexistence Approach,12.8,1.2,1.2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Pont-Rouz 1, France",48.7,-3.3,48.7,-3.3,Upper Pliocene,Plant fossil,Coexistence Approach,15.2,0.7,0.7,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Sessenheim-Auenheim, France",48.8,8,48.8,8,Upper Pliocene,Plant fossil,Coexistence Approach,14.6,0.7,0.7,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Domansky Wierch, Poland",49.5,20,49.5,20,Upper Pliocene,Plant fossil,Coexistence Approach,14,1.4,1.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Vildstejn Nero clay, Czech",50.2,12.4,50.2,12.4,Upper Pliocene,Plant fossil,Coexistence Approach,12.4,0.2,0.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Vildstejn Pluto clay, Czech",50.2,12.4,50.2,12.4,Upper Pliocene,Plant fossil,Coexistence Approach,12.3,1.2,1.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Dorheim, Germany",50.4,8.6,50.4,8.6,Upper Pliocene,Plant fossil,Coexistence Approach,15.5,0.9,0.9,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Kranichfeld, Germany",50.9,11.2,50.9,11.2,Upper Pliocene,Plant fossil,Coexistence Approach,12.9,0.5,0.5,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Fortuna Mine, horizon 11, Germany",51,6.7,51,6.7,Upper Pliocene,Plant fossil,Coexistence Approach,13.9,0,0,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Lower Rhine Basin, Germany",51,6.5,51,6.5,Upper Pliocene,Plant fossil,CLAMP/Coexistence Approach,14.1,0.2,0.2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Herkenbosch, Germany",51.2,6.1,51.2,6.1,Upper Pliocene,Plant fossil,Coexistence Approach,14.4,1.1,1.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Berga, Germany",51.5,11,51.5,11,Upper Pliocene,Plant fossil,Coexistence Approach,13.9,0,0,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Berga/Thuringia, Germany",51.5,11,51.5,11,Upper Pliocene,Plant fossil,Coexistence Approach,13.5,0.5,0.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Willershausen, Germany",51.8,10.1,51.8,10.1,Upper Pliocene,Plant fossil,CLAMP/Coexistence Approach,13.9,2.7,2.7,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Willershausen, Germany",51.8,10.1,51.8,10.1,Upper Pliocene,Plant fossil,Coexistence Approach,14.2,0.6,0.6,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Walton-on-the-Naze, UK",51.8,1.3,51.8,1.3,Upper Pliocene,Plant fossil,Coexistence Approach,12.8,1.3,1.3,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Walton-on-the-Naze, UK",51.8,1.3,51.8,1.3,Upper Pliocene,Plant fossil,Coexistence Approach,12.1,1.1,1.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Orford, UK",52.1,1.6,52.1,1.6,Upper Pliocene,Plant fossil,Coexistence Approach,10.3,0.2,0.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"James Bay Lowland, Canada",52.8,-83.9,52.8,-83.9,Upper Pliocene,Plant fossil,QualEst,6,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Pollnahallia 2, Ireland",53.5,-9,53.5,-9,Upper Pliocene,Plant fossil,Coexistence Approach,10,0.8,0.8,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Maly-shik / Logovskoy, Russia",54,81,54,81,Upper Pliocene to Lower Pleistocene,Plant fossil,Coexistence Approach,8.5,4.1,4.1,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Kabinet / 42km, Russia",55,80,55,80,Upper Pliocene to Lower Pleistocene,Plant fossil,Coexistence Approach,8.9,2.3,2.3,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Mirny, Russia",55,82,55,82,Upper Pliocene to Lower Pleistocene,Plant fossil,Coexistence Approach,11.2,1.3,1.3,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Lake Baikal, Russia",55.7,108.4,55.7,108.4,Upper Pliocene,Plant fossil,Coexistence Approach,7,2.5,2.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Merkutlinskiy, Russia",56,72,56,72,Upper Pliocene to Lower Pleistocene,Plant fossil,Coexistence Approach,11.8,4.5,4.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"West Siberia, Russia",56,70.3,56,70.3,Upper Pliocene,Plant fossil,QualEst,13.5,1.5,1.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Chara Basin, Siberia, Russia",57,118.3,57,118.3,Upper Pliocene,Plant fossil,QualEst,12.8,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Baffin Bay ODP Site 646/647, North Atlantic ocean",58.2,-48.4,58.2,-48.4,Late Pliocene,Plant fossil,Coexistence Approach,7.4,1.3,1.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Sleipner, the North Sea",58.4,1.9,58.4,1.9,Late Pliocene,Plant fossil,Coexistence Approach,15.1,3.4,3.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Magadan District, Russia",60,150.7,60,150.7,Upper Pliocene,Plant fossil,QualEst,2,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Delyankir, Russia",63,133,63,133,Upper Pliocene to Lower Pleistocene,Plant fossil,Coexistence Approach,7.4,0.5,0.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Blizkiy, Russia",64,162,64,162,Upper Pliocene to Lower Pleistocene,Plant fossil,Coexistence Approach,5.3,5.8,5.8,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Lost Chicken Mine, USA",64.1,-142,64.1,-142,Upper Pliocene,Plant fossil,QualEst,2.5,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Nenana Valley, Alaska, USA",64.5,-149.1,64.5,-149.1,Upper Pliocene,Plant fossil,QualEst,3,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Circle, Alaska, USA",65.5,-144.1,65.5,-144.1,Upper Pliocene,Plant fossil,QualEst,3,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"ODP Site 642 9H2 45-46, Norwegian Sea",67.2,2.9,67.2,2.9,Late Pliocene,Plant fossil,Coexistence Approach,8.3,4.1,4.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Ocean Point, USA",70,-153,70,-153,Upper Pliocene,Plant fossil,QualEst,1.5,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Baffin Bay ODP Site 645B, Greenland",70.5,-64.7,70.5,-64.7,Late Pliocene,Plant fossil,Coexistence Approach,4.5,4.3,4.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Lena River, Russia",72.2,126,72.2,126,Upper Pliocene,Plant fossil,QualEst,1.5,1,1,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Beaver Pond site on Ellesmere Island, Actic",78,-82,78,-82,Pliocene,Plant fossil,Annual growth rings and ?18O of cellulose,-0.5,1.9,1.9,"Ballantyne et al., 2010",Terrestrial,Pliocene,Late Pliocene
"Beaver Pond site on Ellesmere Island, Actic",78,-82,78,-82,Pliocene,GDGTs,MBT/CBT,-0.6,5,5,"Ballantyne et al., 2010",Terrestrial,Pliocene,Late Pliocene
"Beaver Pond site on Ellesmere Island, Actic",78,-82,78,-82,Pliocene,Plant fossil,Coexistence Approach,-0.4,4.1,4.1,"Ballantyne et al., 2010",Terrestrial,Pliocene,Late Pliocene
"Beaver Pond/Ellesmere Isl., Actic",78.4,-82,78.4,-82,Upper Pliocene,Plant fossil,Multi-Proxies,-1.4,4,4,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Meighen Island, Canada",80,-99.6,80,-99.6,Late Pliocene,Plant fossil,Coexistence Approach,2.2,0.3,0.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Ellesmere Island, Canada",80.3,-77.4,80.3,-77.4,Late Pliocene,Plant fossil,Coexistence Approach,0.5,0.9,0.9,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"DSDP 594, South Pacific ocean",-45.5235,174.948,-48.13543333,-106.2955333,Serravallian-Messinian,Alkenone,UK’37,16.23,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 722, Arabian Sea",16.6218,59.7953,13.64007273,58.38006364,Tortonian-Messinian,Alkenone,UK’37,28.58,/,/,Huang et al. 2007,Marine,Miocene,Late Miocene
"ODP 846, South Pacific ocean",-3.0967,-90.8181,-2.713238667,-98.13521333,Serravallian-Messinian,Alkenone,UK’37,28.12,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 850, Pacific ocean",1.2971,-110.521,0.780180929,-105.799,Serravallian-Messinian,Alkenone,UK’37,27.79,/,/,Zhang et al. 2014,Marine,Miocene,Late Miocene
"ODP 883/884, North Pacific ocean",51.4506,168.337,49.06850769,173.5990769,Tortonian-Messinian,Alkenone,UK’37,10.21,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 887, Pacific ocean",54.3654,-148.446,52.7188,-145.8436,Tortonian-Messinian,Alkenone,UK’37,8.38,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 907, Arctic ocean",69.2333,-12.6983,69.0027875,-11.39609375,Serravallian-Messinian,Alkenone,UK’37,13.87,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 982, North Atlantic ocean",57.5165,-15.8667,57.30614,-15.29502,Langhian-Messinian,Alkenone,UK’37,24.36,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 1010, North Pacific ocean",29.9649,-118.101,29.07476,-118.3409333,Serravallian-Messinian,Alkenone,UK’37,25.79,/,/,LaRiviere et al. 2012,Marine,Miocene,Late Miocene
"ODP 1021, North Pacific ocean",39.0873,-127.783,37.73717059,-126.2258704,Serravallian-Messinian,Alkenone,UK’37,19.06,/,/,LaRiviere et al. 2012,Marine,Miocene,Late Miocene
"ODP 1085, South Atlantic ocean",-29.3744,13.9901,-33.7,/,Langhian-Messinian,Alkenone,UK’37,24.39,/,/,Rommerskirchen et al. 2011,Marine,Miocene,Late Miocene
"ODP 1088, South Atlantic ocean",-41.1361,13.5629,-42.28961333,11.31687333,Serravallian-Messinian,Alkenone,UK’37,17.81,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 1125, South Pacific ocean",-42.5499,-178.167,-44.94254167,-178.167,Tortonian-Messinian,Alkenone,UK’37,23.3,/,/,Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 1208, North Pacific ocean",36.1272,158.202,34.07108,163.0377,Tortonian-Messinian,Alkenone,UK’37,22.87,/,/,LaRiviere et al. 2012,Marine,Miocene,Late Miocene
"ODP 1241, Pacific ocean",5.8428,-86.4445,2.234066667,-91.97317778,Tortonian-Messinian,Alkenone,UK’37,27.92,/,/,Seki et al. 2012,Marine,Miocene,Late Miocene
"IODP U1338, Pacific ocean",2.51944,-117.931,1.569435455,-112.2540909,Langhian-Messinian,Alkenone,UK’37,27.92,/,/,Rouselle et al. 2013,Marine,Miocene,Late Miocene
Mediterranean,43.352,13.341667,42.15413333,11.52554667,Serravallian-Messinian,Alkenone,UK’37,27.1,/,/,Tzanova et al. 2015; Herbert et al. 2016,Marine,Miocene,Late Miocene
"ODP 689, South Atlantic ocean",-64,3,-63.1,1.7,E/O boundary,Planktic foraminifera,Clumped isotope thermometry,11.9,1.8,1.8,"Petersen et al., 2015",Marine,Early Oligocene,Early Oligocene
"29-277, Pacific",-52,166,-58,180,Lower Oligocene,GDGTs,UK’37,22.7,0.7,0.7,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"29-278, Pacific",-52,166,-58,180,Lower Oligocene,GDGTs,TEX86,23.8,0.5,0.5,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"South Island, New Zealand",-43,166,-57.6,173.5,Lowermost Oligocene,Fish otoliths,?18O,12.5,1,1,"Buening et al., 1997",Marine,Early Oligocene,Early Oligocene
"71-511, South Atlantic ocean",-51,-47,-52,-37,Lower Oligocene,GDGTs,UK’37,11.4,1.3,1.3,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"71-512, South Atlantic ocean",-51,-47,-52,-37,Lower Oligocene,GDGTs,TEX86,11.9,1.6,1.6,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"DSDP Site 511, South Atlantic Ocean",-51,-47,-52,-37,Lowermost Oligocene,GDGTs,UK’37,10,1.5,1.5,"Plancq et al., 2014",Marine,Early Oligocene,Early Oligocene
"177-1090, South Atlantic ocean",-43,9,-45,3,Lower Oligocene,GDGTs,UK’37,20,2.2,2.2,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"TDP Site 12, Tanzania",-9,39,-12,35,Lowermost Oligocene,Planktic foraminifera,?18O,25.1,1.3,1.3,"Wade and Pearson, 2008",Marine,Early Oligocene,Early Oligocene
"Tanzania Drilling Project, Tanzania",-7.8,39.1,-10.7,34.7,Lower Oligocene,mixed-layer foraminifera,Clumped isotope thermometry,29.7,3.2,3.1,Evans et al. 2018,Marine,Early Oligocene,Early Oligocene
"ODP Site 959, Guinea",3.6,-2.7,1.7,-6.4,Lower Oligocene,GDGTs,TEX86,26.4,0.7,0.7,"Cramwinckel et al., 2018",Marine,Early Oligocene,Early Oligocene
"154-925, North Atlantic ocean",4,-44,3.6,-37.7,Lower Oligocene,GDGTs,TEX86,27.8,2,2,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"154-924, North Atlantic ocean",4.2,-43.5,3.6,-37.7,Lower Oligocene,GDGTs,UK’37,27.8,1.3,1.3,"Zhang et al., 2013",Marine,Early Oligocene,Early Oligocene
"154-924, North Atlantic ocean",4.2,-43.5,3.6,-37.7,Lower Oligocene,GDGTs,TEX86,29.5,2,2,"Zhang et al., 2013",Marine,Early Oligocene,Early Oligocene
"154-929, North Atlantic ocean",6,-44.5,4.5,-39,Lower Oligocene,GDGTs,TEX86,24.5,2,2,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"Mississippi, USA",30,-88,30.2,-81.9,Lower Oligocene,mixed-layer foraminifera,Clumped isotope thermometry,29.4,3.1,3,Evans et al. 2018,Marine,Early Oligocene,Early Oligocene
"Gulf Coast, TX, USA",30,-96,31,-90,Lower Oligocene,Fish otoliths,?18O,16.7,1,1,"Lvany et al., 2000",Marine,Early Oligocene,Early Oligocene
"St. Stephens Quarry, Al, USA",32,-88,32,-82,Lowermost Oligocene,GDGTs,TEX86,28,1.6,1.6,"Wade et al., 2012",Marine,Early Oligocene,Early Oligocene
"St. Stephens Quarry, Al, USA",32,-88,32,-82,Lowermost Oligocene,Planktic foraminifera,Mg/Ca,27,0.5,0.5,"Wade et al., 2012",Marine,Early Oligocene,Early Oligocene
"Mississippi Embayment, USA",33,-92,33,-86,Oligocene,Mollusc,?18O,22.5,1.6,1.6,"Kobashil, 2001",Marine,Early Oligocene,Early Oligocene
"Wayne County, MS, USA",42,-83,42,-76,Lower Oligocene,Planktic foraminifera,?18O,21.4,1,1,"Kobashil et al., 2004",Marine,Early Oligocene,Early Oligocene
"Mainz Basin, Germany",50,8,49.5,4.5,lower Oligocene,Shark teeth,?18O,10.2,4.5,4.5,"Walliser et al., 2016",Marine,Early Oligocene,Early Oligocene
"Kassel Basin, Germany",51,9,50.6,5.4,lower Oligocene,Shark teeth,?18O,12.1,3.8,3.8,"Walliser et al., 2016",Marine,Early Oligocene,Early Oligocene
"North Sea Basin, UK",55,-7,54,-11,Lowermost Oligocene,GDGTs,TEX86,14,1.6,1.6,"Sliwinska et al., 2010",Marine,Early Oligocene,Early Oligocene
Denmark,56,9,56,5,Lowermost Oligocene,GDGTs,TEX86,14,1.6,1.6,"Katarzyna et al., 2012",Marine,Early Oligocene,Early Oligocene
"38-336, Norwegian Sea",63,-7,62,-11,Lower Oligocene,GDGTs,UK’37,15.9,0.3,0.3,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"151-913, Greenland Sea",75.5,7,74,12,E/O boundary,GDGTs,UK’37,11.7,1.4,1.4,"Liu et al., 2009",Marine,Early Oligocene,Early Oligocene
"ODP in Prydz Bay, East Antarctica",-66,62,-65,58,E/O boundary,Paleosol,S index(mK2O + mNa2O)/mAl2O3),8.1,3.6,3.6,"Passchier et al., 2017",Terrestrial,Early Oligocene,Early Oligocene
"Seymour and Cockburn Island, Antarctica",-64,-57,-64,-58,Lowermost Oligocene,Plant fossil,Coexistence Approach,7,2.4,2.4,"Thorn and Deconto, 2006",Terrestrial,Early Oligocene,Early Oligocene
"Assam, India",27.3,95.8,20.1,96.2,Upper Oliogocene,Plant fossil,CLAMP,28.3,3.7,3.7,"Srivastava et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Guangxi, China",22.2,107,22.4,106.7,Lower Oligocene,Plant fossil,Coexistence Approach,20.7,1.8,1.8,"Sun et al., 2017",Terrestrial,Early Oligocene,Early Oligocene
"Guangdong, China",21.8,110.8,22.7,110.5,Lower Oligocene,Plant fossil,CLAMP,22.1,1.7,1.7,"Herman et al., 2017",Terrestrial,Early Oligocene,Early Oligocene
"Patagonia, USA",32,-111,33,-105,E/O boundary,Mammal tooth enamel,?18O,19.9,2,2,"Kohn et al., 2015",Terrestrial,Early Oligocene,Early Oligocene
"Lanzhou, China",36,104,37,100,Oligocene,Plant fossil,Coexistence Approach,19.3,3,3,"Yao et al., 2010",Terrestrial,Early Oligocene,Early Oligocene
"Çorum Güvendik, Turkey",40.5,33.5,40.7,30.4,Upper Oliogocene,Plant fossil,Coexistence Approach,16.7,0.6,0.6,"Kayseri-Özer et al., 2017",Terrestrial,Early Oligocene,Early Oligocene
"Çorum-Osmano?lu fm., Turkey",40.5,35,40.7,31.9,Upper Oliogocene,Plant fossil,Coexistence Approach,18,0.8,0.8,"Kayseri-Özer et al., 2017",Terrestrial,Early Oligocene,Early Oligocene
"Ebro Basin, Spain",42,2,42,-1,Lowermost Oligocene,Paleosol,Weathering Proxy(mAl/mSi),10.6,0.6,0.6,"Sheldon et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Sava Basin, Slovenia",46,14,43,12,Oligocene,Plant fossil,Coexistence Approach,17.5,2.4,2.4,"Bruch and Mosbrugger, 2002",Terrestrial,Early Oligocene,Early Oligocene
"Central Rockies/Western Great Plains, USA",42.6,-105.3,43.5,-98.4,Lower Oligocene,Sandstone cement,Clumped isotope thermometry,8.3,3.8,3.8,"Hren et al, 2013",Terrestrial,Early Oligocene,Early Oligocene
"Oregon, USA",44,-123,44,-112,Lower Oligocene,Paleosols,S index(mK2O + mNa2O)/mAl2O3),16,3.6,3.6,"Sheldon and Retallack, 2004",Terrestrial,Early Oligocene,Early Oligocene
"Toadstool Park, NW Nebraska, USA",43,-104,44,-97,Lowermost Oligocene,Mammal tooth enamel,?18O,7.1,3.1,3.1,"Zanazzi et al., 2009",Terrestrial,Early Oligocene,Early Oligocene
"White River, SW South Dakota, USA",44,-103,45,-96,Lowermost Oligocene,Mammal tooth enamel,?18O,13.3,2,2,"Zanazzi et al., 2007",Terrestrial,Early Oligocene,Early Oligocene
"Shulan, Jilin, China",45,127,46,124,Lowermost Oligocene,Plant fossil,Coexistence Approach,14.9,2.3,2.3,"Quan et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"SW Montana, USA",47,-115,48,-108,E/O boundary,Plant fossil,Coexistence Approach,12.8,2.4,2.4,"Lielke et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Hampshire Basin, USA",50.7,-1.3,50,-4.7,Lower Oligocene,Gastropod,Clumped isotope thermometry,2.1,3.6,3.6,"Hren et al, 2013",Terrestrial,Early Oligocene,Early Oligocene
"Isle of Wight, UK",51,-1,50,-4,Lowermost Oligocene,Paleosol,S index(mK2O + mNa2O)/mAl2O3),13.2,3.6,3.6,"Sheldon et al., 2009",Terrestrial,Early Oligocene,Early Oligocene
"?eské st?edoho?í Mountains, northern Bohemia, German",51,14,51,10,Lower Oligocene,Plant fossil,Coexistence Approach/CLAMP,16.1,3,3,"Kvacek and Walther, 2004",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",52,82,53,79,Lower Oligocene,Plant fossil,Coexistence Approach,15.2,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",54,73,55,70,Lower Oligocene,Plant fossil,Coexistence Approach,12.4,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",55,71,56,68,Lower Oligocene,Plant fossil,Coexistence Approach,12.7,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",56,72,57,70,Lower Oligocene,Plant fossil,Coexistence Approach,12.8,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",56,84,57,81,Lower Oligocene,Plant fossil,Coexistence Approach,14.9,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",57,65,58,61,Lower Oligocene,Plant fossil,Coexistence Approach,12,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",57,79,58,76,Lower Oligocene,Plant fossil,Coexistence Approach,12.1,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",57,82,58,79,Lower Oligocene,Plant fossil,Coexistence Approach,13.1,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",59,76,60,73,Lower Oligocene,Plant fossil,Coexistence Approach,16,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",59,80,60,77,Lower Oligocene,Plant fossil,Coexistence Approach,13,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
"Western Siberia, Russia",60,83,61,80,Lower Oligocene,Plant fossil,Coexistence Approach,10.1,3,3,"Popova et al., 2012",Terrestrial,Early Oligocene,Early Oligocene
Seymour Island,-64.28,-56.75,-67,,Middle Eocene,Bivalve shell,?18O,20.9,2.1,2.1,Douglas et al. 2014,Marine,Middle Eocene,Middle Eocene
ODP Site 1172,-43.96,149.93,-65,,Middle Eocene,GDGTs,"TEX86, Uk'37",24.8,1.4,1.4,Bijl et al. 2009,Marine,Middle Eocene,Middle Eocene
DSDP Site 277,-52.22,166.19,-62,,Middle Eocene,GDGTs,"TEX86, Uk'37",25.2,2.5,2.5,Hollis et al. 2009,Marine,Middle Eocene,Middle Eocene
Hampden beach NZ,-43.09,172.77,-60,,Middle Eocene,GDGTs,TEX86,24.3,0.4,0.4,Burgess et al. 2008,Marine,Middle Eocene,Middle Eocene
DSDP Site 511,-51,-46.97,-55,,Middle Eocene,GDGTs,TEX86,27,2.5,2.5,Houben 2012,Marine,Middle Eocene,Middle Eocene
Tanzania,-7.77,39.06,-19,,Middle Eocene,GDGTs,TEX86,34,0.1,0.1,Pearson et al. 2009,Marine,Middle Eocene,Middle Eocene
ODP Site 925,4.2,-43.49,-2,,Middle Eocene,GDGTs,TEX86,33,2.5,2.5,Zhang et al. 2013,Marine,Middle Eocene,Middle Eocene
DSDP Site 336,63.35,-7.79,60,,Middle Eocene,GDGTs,Uk'37,23,4,4,Liu et al. 2009,Marine,Middle Eocene,Middle Eocene
ODP Site 913,75.85,-6.95,65,,Middle Eocene,GDGTs,Uk'37,25,4,4,Liu et al. 2009,Marine,Middle Eocene,Middle Eocene
Arctic Lomonosov Ridge,87.87,136.19,85,,Middle Eocene,GDGTs,"TEX86, Uk'37",11.3,1.9,1.9,Sangiorgi et al. 2008,Marine,Middle Eocene,Middle Eocene
"ODP 690, South Atlantic ocean",-65.2,1.2,-66,-7,Lower Ypresian,Planktic foraminifera,?18O,13,0.7,0.7,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
"ODP 738, Indian ocean",-62.7,82.8,-64,78,Lower Ypresian,Planktic foraminifera,?18O,14,0.7,0.7,"Ho et al., 2016",Marine,Late Paleocene-Early Eocene,Early Eocene
